original_code,code,code_level,sector,borderline
47.73,4773,4,NA,NA
47.74,4774,4,NA,NA
47.75,4775,4,NA,NA
47.76,4776,4,NA,NA
47.77,4777,4,NA,NA
47.78,4778,4,NA,NA
47.79,4779,4,NA,NA
47.8,478,3,NA,NA
47.81,4781,4,NA,NA
47.82,4782,4,NA,NA
47.89,4789,4,NA,NA
47.9,479,3,NA,NA
47.91,4791,4,NA,NA
47.99,4799,4,NA,NA
49,49,2,NA,NA
49.1,491,4,NA,NA
NA,4910,NA,NA,NA
49.2,492,3,NA,NA
NA,4920,NA,NA,NA
49.3,493,3,NA,NA
49.31,4931,4,NA,NA
49.32,4932,4,NA,NA
49.39,4939,4,NA,NA
49.4,494,3,NA,NA
49.41,4941,4,NA,NA
49.42,4942,4,NA,NA
51.22,5122,4,NA,NA
NA,521,NA,NA,NA
NA,5210,NA,NA,NA
52.2,522,3,NA,NA
52.21,5221,4,NA,NA
53,53,2,NA,NA
53.1,531,4,NA,NA
NA,5310,NA,NA,NA
53.2,532,4,NA,NA
NA,5320,NA,NA,NA
55,55,2,NA,NA
55.1,551,4,NA,NA
NA,5510,NA,NA,NA
55.2,552,4,NA,NA
NA,5520,NA,NA,NA
55.3,553,4,NA,NA
NA,5530,NA,NA,NA
55.9,559,4,NA,NA
NA,5590,NA,NA,NA
56,56,2,NA,NA
56.1,561,4,NA,NA
NA,5610,NA,NA,NA
56.2,562,3,NA,NA
56.21,5621,4,NA,NA
56.29,5629,4,NA,NA
56.3,563,4,NA,NA
NA,5630,NA,NA,NA
58,58,2,NA,NA
58.1,581,3,NA,NA
58.11,5811,4,NA,NA
58.12,5812,4,NA,NA
58.13,5813,4,NA,NA
58.14,5814,4,NA,NA
58.19,5819,4,NA,NA
58.2,582,3,NA,NA
58.21,5821,4,NA,NA
58.29,5829,4,NA,NA
59,59,2,NA,NA
59.1,591,3,NA,NA
59.11,5911,4,NA,NA
59.12,5912,4,NA,NA
59.13,5913,4,NA,NA
59.14,5914,4,NA,NA
59.2,592,4,NA,NA
NA,5920,NA,NA,NA
60,60,2,NA,NA
60.1,601,4,NA,NA
NA,6010,NA,NA,NA
60.2,602,4,NA,NA
NA,6020,NA,NA,NA
61.1,611,4,NA,NA
NA,6110,NA,NA,NA
61.2,612,4,NA,NA
NA,6120,NA,NA,NA
61.3,613,4,NA,NA
NA,6130,NA,NA,NA
61.9,619,4,NA,NA
NA,6190,NA,NA,NA
62.01,6201,4,NA,NA
62.02,6202,4,NA,NA
62.03,6203,4,NA,NA
62.09,6209,4,NA,NA
63,63,2,NA,NA
63.1,631,3,NA,NA
63.11,6311,4,NA,NA
63.12,6312,4,NA,NA
63.9,639,3,NA,NA
63.91,6391,4,NA,NA
63.99,6399,4,NA,NA
64,64,2,NA,NA
64.1,641,3,NA,NA
64.11,6411,4,NA,NA
64.19,6419,4,NA,NA
64.2,642,4,NA,NA
NA,6420,NA,NA,NA
64.3,643,4,NA,NA
NA,6430,NA,NA,NA
64.9,649,3,NA,NA
64.91,6491,4,NA,NA
64.92,6492,4,NA,NA
64.99,6499,4,NA,NA
65,65,2,NA,NA
65.1,651,3,NA,NA
65.11,6511,4,NA,NA
65.12,6512,4,NA,NA
65.2,652,4,NA,NA
NA,6520,NA,NA,NA
65.3,653,4,NA,NA
NA,6530,NA,NA,NA
66,66,2,NA,NA
66.1,661,3,NA,NA
66.11,6611,4,NA,NA
66.12,6612,4,NA,NA
66.19,6619,4,NA,NA
66.2,662,3,NA,NA
66.21,6621,4,NA,NA
66.22,6622,4,NA,NA
66.29,6629,4,NA,NA
66.3,663,4,NA,NA
NA,6630,NA,NA,NA
68,68,2,NA,NA
68.1,681,4,NA,NA
NA,6810,NA,NA,NA
68.2,682,3,NA,NA
NA,6820,NA,NA,NA
68.3,683,3,NA,NA
68.31,6831,4,NA,NA
68.32,6832,4,NA,NA
69,69,2,NA,NA
69.1,691,4,NA,NA
NA,6910,NA,NA,NA
69.2,692,4,NA,NA
NA,6920,NA,NA,NA
70,70,2,NA,NA
70.1,701,4,NA,NA
NA,7010,NA,NA,NA
70.2,702,3,NA,NA
70.21,7021,4,NA,NA
70.22,7022,4,NA,NA
7.1,71,4,NA,NA
NA,710,NA,NA,NA
71.1,711,3,NA,NA
71.11,7111,4,NA,NA
71.12,7112,4,NA,NA
71.2,712,4,NA,NA
NA,7120,NA,NA,NA
7.21,721,4,NA,NA
72.11,7211,4,NA,NA
72.19,7219,4,NA,NA
72.2,722,4,NA,NA
NA,7220,NA,NA,NA
73,73,2,NA,NA
73.1,731,3,NA,NA
73.11,7311,4,NA,NA
73.12,7312,4,NA,NA
73.2,732,4,NA,NA
NA,7320,NA,NA,NA
74,74,2,NA,NA
74.1,741,4,NA,NA
NA,7410,NA,NA,NA
74.2,742,4,NA,NA
NA,7420,NA,NA,NA
74.3,743,4,NA,NA
NA,7430,NA,NA,NA
74.9,749,4,NA,NA
NA,7490,NA,NA,NA
75,75,4,NA,NA
NA,7500,NA,NA,NA
77,77,2,NA,NA
77.1,771,3,NA,NA
77.11,7711,4,NA,NA
77.12,7712,4,NA,NA
77.2,772,3,NA,NA
77.21,7721,4,NA,NA
77.22,7722,4,NA,NA
77.29,7729,4,NA,NA
77.3,773,3,NA,NA
77.31,7731,4,NA,NA
77.32,7732,4,NA,NA
77.33,7733,4,NA,NA
77.34,7734,4,NA,NA
77.35,7735,4,NA,NA
77.39,7739,4,NA,NA
77.4,774,4,NA,NA
NA,7740,NA,NA,NA
78,78,2,NA,NA
78.1,781,4,NA,NA
NA,7810,NA,NA,NA
78.2,782,4,NA,NA
NA,7820,NA,NA,NA
78.3,783,4,NA,NA
NA,7830,NA,NA,NA
79,79,2,NA,NA
79.1,791,3,NA,NA
79.11,7911,4,NA,NA
79.12,7912,4,NA,NA
79.9,799,4,NA,NA
NA,7990,NA,NA,NA
80,80,2,NA,NA
80.1,801,4,NA,NA
NA,8010,NA,NA,NA
80.2,802,4,NA,NA
NA,8020,NA,NA,NA
80.3,803,4,NA,NA
NA,8030,NA,NA,NA
NA,8110,NA,NA,NA
NA,812,NA,NA,NA
81.21,8121,4,NA,NA
81.22,8122,4,NA,NA
